adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/gQimJqYMKCkwHIo8wwYKhmnCfBr.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",https://hurawatch.lol/,1242501,tt29780866,['US'],en,Icefall,"A young Indigenous game warden arrests an infamous poacher only to discover that the poacher knows the location of a plane carrying millions of dollars that has crashed in a frozen lake. When a group of criminals and dirty cops are alerted to the poacher’s whereabouts, the warden and the poacher team up to fight back and escape across the treacherous lake before the ice melts.",133.0881,/5Byv6nznAb2Izd0gHpODOXnuSbo.jpg,"[{'id': 2520, 'logo_path': None, 'name': 'Arclight Films', 'origin_country': 'US'}, {'id': 220394, 'logo_path': None, 'name': 'Top Film', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-10-16,0,99,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Icefall,False,6.471,105
False,/ykigHs1OIyqqV04zfFqIlSHp546.jpg,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.jaggientertainment.com/killer-whale,1412598,tt33479805,['AU'],en,Killer Whale,Follows best friends Maddie and Trish as they find themselves trapped in a remote lagoon with the dangerous killer whale named Ceto.,119.4486,/cqbXxAw9sUr4tJ5ffEwtnz6IL9o.jpg,"[{'id': 199833, 'logo_path': '/jBvzUqNAKQL9KUiAXPHJ01fREGN.png', 'name': 'Jaggi Entertainment', 'origin_country': 'AU'}, {'id': 25954, 'logo_path': '/oga9DS7GZGbZ0iZ4JFuVTBMBv1C.png', 'name': 'Metrol Technology', 'origin_country': 'GB'}, {'id': 157172, 'logo_path': '/fNnKmC4ZP28Im4NaFsDwsblyVLF.png', 'name': 'Ace Entertainment Films', 'origin_country': 'US'}, {'id': 5056, 'logo_path': '/ok7CQyn0RPEuI0upznPoo93YE6H.png', 'name': 'Head Gear Films', 'origin_country': 'GB'}, {'id': 283868, 'logo_path': None, 'name': 'Asia Pacific Film Group', 'origin_country': ''}, {'id': 10950, 'logo_path': '/6TdE9m9KgV2az7vNI8n95rQiYr3.png', 'name': 'Screen Queensland', 'origin_country': 'AU'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2026-01-16,0,89,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,It's feeding time.,Killer Whale,False,5.693,44
False,/iZLqwEwUViJdSkGVjePGhxYzbDb.jpg,,10000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",https://www.amazon.com/gp/video/detail/B0DMF7MXKT,755898,tt13186306,['US'],en,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",122.9424,/yvirUYrva23IudARHn3mMGVxWqM.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 109501, 'logo_path': '/4dtmZKPLHzIALpGbdeSNX6Rw1p3.png', 'name': 'Bazelevs', 'origin_country': 'US'}, {'id': 59827, 'logo_path': None, 'name': 'Patrick Aiello Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-07-29,0,91,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Your data is deadly.,War of the Worlds,False,4.213,867
False,/vMxOmgmBGegjVObjlb8ugsjGgkD.jpg,,0,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",https://www.amazon.com/dp/B0G4XCZW3X,1252037,tt31495504,['DE'],de,Der Tiger,"A German Tiger tank crew is sent on a dangerous mission to rescue the missing officer Paul von Hardenburg from a top-secret bunker behind enemy lines. As they make their way through the lethal no-man's land, they must confront not only the enemy, but also their own fears and inner demons. Fueled by the Wehrmacht's methamphetamine, their mission increasingly becomes a journey into the heart of darkness.",109.5764,/65Jr1JAgWlu9em8zHhAfrNJJQBt.jpg,"[{'id': 78486, 'logo_path': '/oKG2ahqSVN8i5Rd0U9ZNbNY6jK7.png', 'name': 'Pantaleon Films', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2025-09-18,0,117,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,The Tank,False,7.0,287
False,/7dQTILcUKw8chDiLj8TgPXxRuED.jpg,,90000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",https://www.sinnersmovie.com,1233413,tt31193180,['US'],en,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",100.3101,/qTvFWCGeGXgBRaINLY1zqgTPSpn.jpg,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 148495, 'logo_path': '/2fQRDickgp9vuDIxJTlDLEs7j0y.png', 'name': 'Proximity Media', 'origin_country': 'US'}, {'id': 216687, 'logo_path': '/kKVYqekveOvLK1IgqdJojLjQvtu.png', 'name': 'Domain Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-04-16,368389632,138,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Yoruba', 'iso_639_1': 'yo', 'name': 'Èdè Yorùbá'}]",Released,Dance with the devil.,Sinners,False,7.5,3425
False,/1RgPyOhN4DRs225BGTlHJqCudII.jpg,"{'id': 925155, 'name': 'Demon Slayer: Kimetsu no Yaiba Collection', 'poster_path': '/3exjjYTseefny9nYjSbkIblZZdK.jpg', 'backdrop_path': '/oHx043lHsysn8klll1nPvKMBHLf.jpg'}",20000000,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",https://www.demonslayer-movie.com,1311031,tt32820897,['JP'],ja,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",101.9656,/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,"[{'id': 5887, 'logo_path': '/m6FEqz8rQECnmfjEwjNhNAlmhCJ.png', 'name': 'ufotable', 'origin_country': 'JP'}, {'id': 2883, 'logo_path': '/rDYExnBV61jGQnkhVVrPN4Yl7O1.png', 'name': 'Aniplex', 'origin_country': 'JP'}, {'id': 2918, 'logo_path': '/gyEWUBWwqrm3H5T2hkERD9LxpOq.png', 'name': 'Shueisha', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2025-07-18,724279886,156,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,It's time to have some fun.,Demon Slayer: Kimetsu no Yaiba Infinity Castle,False,7.675,684
False,/uiSaYXR0jLLWma0EPA1tcBhX6wT.jpg,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",https://www.netflix.com/title/81900394,1608982,tt36398562,['SA'],ar,جرس إنذار: الحفرة,"Trapped in an underground pit during a storm, three students from an all-girls school must confront their personal conflicts as they fight to survive.",89.6567,/iwZIR8wp1lqj69zsbWmZKhXTTIU.jpg,"[{'id': 259835, 'logo_path': '/vgMh4ILSaCUo6rVVWZ8VgSNwl58.png', 'name': 'Ideation Studios', 'origin_country': 'SA'}]","[{'iso_3166_1': 'SA', 'name': 'Saudi Arabia'}]",2026-01-21,0,88,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,From the Ashes: The Pit,False,3.8,15
False,/uHavtqbnMDcwqVK9Y94ZQSWxtCw.jpg,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",https://www.netflix.com/title/81679860,1443762,tt36741457,['IT'],it,Il falsario,"Toni Chichiarelli arrives in Rome with the dream of becoming a painter, but his talent leads him elsewhere — from art galleries to state secrets. Between art, crime, and power, his signature ends up everywhere — even in the history of Italy.",83.2904,/A188B94iDLdB6499QBYbz74WgOF.jpg,"[{'id': 10102, 'logo_path': '/hdJq0LbqmBx6FJqnfTtfqvAsAkV.png', 'name': 'Cattleya', 'origin_country': 'IT'}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2026-01-22,0,110,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,The Big Fake,False,6.513,75
False,/tyjXlexbNZQ0ZT1KEJslQtBirqc.jpg,"{'id': 840465, 'name': 'Greenland Collection', 'poster_path': '/naNSFJ2bQqGPNpO7ZC71vxkDhr4.jpg', 'backdrop_path': '/bmfsqt3VZgXE0KRGxalFa9NpBYO.jpg'}",90000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.greenland2.movie,840464,tt14850054,['US'],en,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",305.9816,/dtPwBZjzqTaObjG4fKStRkBq1uu.jpg,"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 47729, 'logo_path': '/bAxh897TGgdR0Py6wdd0UuE147Z.png', 'name': 'STXfilms', 'origin_country': 'US'}, {'id': 138743, 'logo_path': '/abFJGmtPFs6Bq5cBavmrnXDcpf8.png', 'name': 'Anton', 'origin_country': 'GB'}, {'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road', 'origin_country': 'US'}, {'id': 103331, 'logo_path': '/nxkmGpo1Ym74DkBzNtoMz5cl6DJ.png', 'name': 'G-BASE', 'origin_country': 'US'}, {'id': 253186, 'logo_path': None, 'name': 'CineMachine', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2026-01-07,11416907,98,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,Hope is uncharted territory.,Greenland 2: Migration,False,6.664,137
False,/qKWDHofjMHPSEOTLaixkC9ZmjTT.jpg,,65000000,"[{'id': 18, 'name': 'Drama'}]",https://a24films.com/films/marty-supreme,1317288,tt32916440,['US'],en,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",82.4454,/firAhZA0uQvRL2slp7v3AnOj0ZX.jpg,"[{'id': 41077, 'logo_path': '/1ZXsGaFPgrgS6ZZGS37AqD5uU12.png', 'name': 'A24', 'origin_country': 'US'}, {'id': 243162, 'logo_path': None, 'name': 'Central Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-12-19,116300000,150,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,Dream big.,Marty Supreme,False,7.87,342
False,/tVwFrpeGPYyk75rS82benPjtK6.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",https://www.213pnm.com/m-database/omniscientreader,1131759,tt30254719,['KR'],ko,전지적 독자 시점,"Kim Dok-ja, an ordinary man in his 20s, is the only reader of an obscure web novel titled ""Three Ways to Survive the Apocalypse"". After having read the last chapter, the novel suddenly becomes reality, and its omnipotent hero Yu Jung-hyeok appears before Kim. As the only person who knows how to survive in this world, Kim and his companions strive to save the world by writing his own, new ending.",76.8269,/3R3dXO2nm8JyR5NG7SEfii7RzlV.jpg,"[{'id': 253583, 'logo_path': '/m9NIGwTjaGmYYhdzXllrbWd3Qhf.png', 'name': 'MYM Entertainment', 'origin_country': 'KR'}, {'id': 3655, 'logo_path': '/bAn1qaqJRWwlTjzu3Ks6u3LrdMJ.png', 'name': 'Realies Pictures', 'origin_country': 'KR'}, {'id': 253572, 'logo_path': '/uERBjFBui9rLpp6ctYigkDY7Gqa.png', 'name': 'SmilegateRealies', 'origin_country': 'KR'}, {'id': 253584, 'logo_path': '/3r4kWntcOKxwrw3v8OfmRIQteKZ.png', 'name': 'The Present Company', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2025-07-23,9187679,117,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,A novel known only by me has become reality.,Omniscient Reader: The Prophecy,False,6.4,52
