id,title,budget,revenue,runtime,vote_count,vote_average,release_year,genre_encoded,lang_encoded,overview_len,overview_sentiment
144613,Beau Brummel,343000,495000,127,13,6.8,1924,5,1,260,0.08
30784,The Criminal,0,0,97,40,6.3,1960,4,1,195,-0.43333333333333335
1061474,Superman,225000000,616823803,130,4228,7.378,2025,11,1,136,0.0
980477,Ne Zha 2,80000000,2259822417,144,567,8.121,2025,2,15,340,0.0
11215,Baby Boom,15000000,26712476,110,394,6.391,1987,5,1,733,0.15538720538720535
1246049,Dracula,52000000,28623298,130,772,7.2,2025,8,4,259,-0.19047619047619047
1448560,Wildcat,50000,0,99,78,5.968,2025,0,1,127,-0.6
1034716,People We Meet on Vacation,1000000,0,116,359,7.039,2026,10,1,150,0.4666666666666666
1010581,My Fault,0,0,117,3981,7.76,2023,5,2,386,0.2132996632996633
1013446,Reflection in a Dead Diamond,0,0,87,59,6.136,2025,0,4,242,-0.08333333333333333
617126,The Fantastic 4: First Steps,200000000,521858728,115,2907,6.982,2025,11,1,283,0.05416666666666665
1512623,Risqué,0,0,91,53,7.368,2025,0,1,162,-0.3277777777777778
1100988,28 Years Later,60000000,151308832,115,2131,6.616,2025,8,1,249,0.1
1083637,Kantara - A Legend: Chapter 1,14000000,91000000,165,58,7.017,2025,0,8,458,-0.21875
1366745,Papá x dos,0,0,104,10,4.2,2025,6,2,293,0.2833333333333333
1238188,The Captive,10720500,0,134,35,6.929,2025,5,2,258,-0.1225
1087192,How to Train Your Dragon,150000000,636351148,125,2530,7.952,2025,7,1,312,0.09
1359607,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,0,1067775,105,9,7.556,2025,2,7,593,-0.13333333333333333
13483,Awake,86000000,14373825,84,1449,6.546,2007,12,1,285,0.10999999999999999
772462,Don't Follow Me,0,1015383,83,38,6.474,2025,8,2,357,-0.049999999999999996
812583,Wake Up Dead Man: A Knives Out Mystery,210000000,4000000,145,1919,7.219,2025,12,1,377,0.004761904761904761
1313003,Close To Me,5000000,490149,103,47,5.681,2025,10,6,292,-0.1212121212121212
79871,Crazy Love,0,1575158,77,41,6.3,1993,3,-1,282,0.31875000000000003
